,Treatment,membership,percentage
0,LPS/Nigericin,-1,29.43508424182359
1,LPS/Nigericin,1,1.288404360753221
2,LPS/Nigericin,10,4.112983151635283
3,LPS/Nigericin,11,6.541129831516352
4,LPS/Nigericin,12,11.446977205153617
5,LPS/Nigericin,13,4.905847373637265
6,LPS/Nigericin,14,4.558969276511397
7,LPS/Nigericin,2,0.4955401387512388
8,LPS/Nigericin,3,0.7928642220019821
9,LPS/Nigericin,4,1.7839444995044598
10,LPS/Nigericin,5,2.2794846382556986
11,LPS/Nigericin,6,14.122893954410307
12,LPS/Nigericin,7,2.576808721506442
13,LPS/Nigericin,8,0.6937561942517344
14,LPS/Nigericin,9,14.965312190287413
15,LPS/Unactivated,-1,44.63130659767141
16,LPS/Unactivated,1,8.495040965933592
17,LPS/Unactivated,10,1.8973695558430357
18,LPS/Unactivated,11,9.314359637774903
19,LPS/Unactivated,12,0.4743423889607589
20,LPS/Unactivated,13,2.846054333764554
21,LPS/Unactivated,14,0.5605864596808969
22,LPS/Unactivated,2,7.503234152652006
23,LPS/Unactivated,3,4.4846916774471755
24,LPS/Unactivated,4,5.778352738249246
25,LPS/Unactivated,5,6.425183268650281
26,LPS/Unactivated,6,5.950840879689522
27,LPS/Unactivated,7,0.4743423889607589
28,LPS/Unactivated,8,0.9918068132815868
29,LPS/Unactivated,9,0.172488141440276
30,Unprimed/Nigericin,-1,36.27838104639684
31,Unprimed/Nigericin,1,1.2339585389930898
32,Unprimed/Nigericin,10,5.231984205330701
33,Unprimed/Nigericin,11,6.712734452122408
34,Unprimed/Nigericin,12,3.504442250740375
35,Unprimed/Nigericin,13,7.7986179664363275
36,Unprimed/Nigericin,14,3.8993089832181638
37,Unprimed/Nigericin,2,0.29615004935834155
38,Unprimed/Nigericin,3,2.1224086870681145
39,Unprimed/Nigericin,4,1.7275419545903257
40,Unprimed/Nigericin,5,1.2339585389930898
41,Unprimed/Nigericin,6,15.992102665350444
42,Unprimed/Nigericin,7,4.54096742349457
43,Unprimed/Nigericin,8,2.1224086870681145
44,Unprimed/Nigericin,9,7.305034550839092
45,Unprimed/Unactivated,-1,40.494665373423864
46,Unprimed/Unactivated,1,5.868089233753637
47,Unprimed/Unactivated,10,4.31619786614937
48,Unprimed/Unactivated,11,9.747817652764306
49,Unprimed/Unactivated,12,0.533462657613967
50,Unprimed/Unactivated,13,2.9582929194956353
51,Unprimed/Unactivated,14,0.533462657613967
52,Unprimed/Unactivated,2,6.838021338506304
53,Unprimed/Unactivated,3,3.976721629485936
54,Unprimed/Unactivated,4,1.3579049466537343
55,Unprimed/Unactivated,5,10.766246362754607
56,Unprimed/Unactivated,6,8.583899127061105
57,Unprimed/Unactivated,7,0.24248302618816686
58,Unprimed/Unactivated,8,3.5887487875848687
59,Unprimed/Unactivated,9,0.19398642095053348
