,Treatment,membership,percentage
0,LPS/Nigericin,-1,36.56062701705855
1,LPS/Nigericin,1,2.39741816505302
2,LPS/Nigericin,10,9.451360073766713
3,LPS/Nigericin,11,0.875979714153988
4,LPS/Nigericin,12,3.872752420470263
5,LPS/Nigericin,13,11.295527893038267
6,LPS/Nigericin,14,2.904564315352697
7,LPS/Nigericin,2,7.053941908713693
8,LPS/Nigericin,3,2.9506685108344857
9,LPS/Nigericin,4,1.7980636237897647
10,LPS/Nigericin,5,1.6136468418626098
11,LPS/Nigericin,6,4.610419548178885
12,LPS/Nigericin,7,5.394190871369295
13,LPS/Nigericin,8,4.149377593360995
14,LPS/Nigericin,9,5.0714615029967725
15,LPS/Unactivated,-1,37.53765060240964
16,LPS/Unactivated,1,1.430722891566265
17,LPS/Unactivated,10,3.802710843373494
18,LPS/Unactivated,11,0.48945783132530124
19,LPS/Unactivated,12,0.41415662650602414
20,LPS/Unactivated,13,3.463855421686747
21,LPS/Unactivated,14,2.2213855421686746
22,LPS/Unactivated,2,7.266566265060241
23,LPS/Unactivated,3,11.332831325301203
24,LPS/Unactivated,4,2.2966867469879517
25,LPS/Unactivated,5,3.5391566265060246
26,LPS/Unactivated,6,15.36144578313253
27,LPS/Unactivated,7,2.447289156626506
28,LPS/Unactivated,8,5.421686746987952
29,LPS/Unactivated,9,2.9743975903614457
30,Unprimed/Nigericin,-1,39.35483870967742
31,Unprimed/Nigericin,1,2.5219941348973607
32,Unprimed/Nigericin,10,6.217008797653959
33,Unprimed/Nigericin,11,1.1730205278592376
34,Unprimed/Nigericin,12,1.7008797653958945
35,Unprimed/Nigericin,13,9.208211143695015
36,Unprimed/Nigericin,14,4.3401759530791795
37,Unprimed/Nigericin,2,7.565982404692082
38,Unprimed/Nigericin,3,5.747800586510264
39,Unprimed/Nigericin,4,2.932551319648094
40,Unprimed/Nigericin,5,1.4076246334310851
41,Unprimed/Nigericin,6,8.504398826979472
42,Unprimed/Nigericin,7,1.6422287390029326
43,Unprimed/Nigericin,8,2.463343108504399
44,Unprimed/Nigericin,9,5.219941348973607
45,Unprimed/Unactivated,-1,39.051777916406735
46,Unprimed/Unactivated,1,1.2476606363069247
47,Unprimed/Unactivated,10,3.3063006862133504
48,Unprimed/Unactivated,11,0.8733624454148471
49,Unprimed/Unactivated,12,0.8109794135995009
50,Unprimed/Unactivated,13,2.8696194635059262
51,Unprimed/Unactivated,14,2.8072364316905802
52,Unprimed/Unactivated,2,8.42170929507174
53,Unprimed/Unactivated,3,6.799750467872738
54,Unprimed/Unactivated,4,2.30817217716781
55,Unprimed/Unactivated,5,5.115408608858391
56,Unprimed/Unactivated,6,12.788521522145976
57,Unprimed/Unactivated,7,2.5577043044291954
58,Unprimed/Unactivated,8,7.2364316905801624
59,Unprimed/Unactivated,9,3.8053649407361196
