,Treatment,membership,percentage
0,LPS/Nigericin,-1,43.10618066561015
1,LPS/Nigericin,1,3.909138932910724
2,LPS/Nigericin,10,1.5847860538827259
3,LPS/Nigericin,11,1.0565240359218173
4,LPS/Nigericin,12,4.226096143687269
5,LPS/Nigericin,13,0.5810882197569995
6,LPS/Nigericin,14,0.6339144215530903
7,LPS/Nigericin,15,0.6867406233491812
8,LPS/Nigericin,16,1.5847860538827259
9,LPS/Nigericin,17,4.226096143687269
10,LPS/Nigericin,18,1.8489170628631801
11,LPS/Nigericin,19,2.165874273639725
12,LPS/Nigericin,2,3.9619651347068143
13,LPS/Nigericin,20,0.739566825145272
14,LPS/Nigericin,21,0.31695721077654515
15,LPS/Nigericin,22,0.739566825145272
16,LPS/Nigericin,23,0.369783412572636
17,LPS/Nigericin,24,0.26413100898045433
18,LPS/Nigericin,25,0.5282620179609087
19,LPS/Nigericin,3,5.441098784997359
20,LPS/Nigericin,4,7.290015847860539
21,LPS/Nigericin,5,8.6634970945589
22,LPS/Nigericin,6,1.6376122556788169
23,LPS/Nigericin,7,2.535657686212361
24,LPS/Nigericin,8,1.6376122556788169
25,LPS/Nigericin,9,0.26413100898045433
26,LPS/Unactivated,-1,48.83624272651704
27,LPS/Unactivated,1,0.41562759767248547
28,LPS/Unactivated,10,6.982543640897755
29,LPS/Unactivated,11,0.29093931837073983
30,LPS/Unactivated,12,2.2443890274314215
31,LPS/Unactivated,13,0.914380714879468
32,LPS/Unactivated,14,1.7040731504571904
33,LPS/Unactivated,15,0.9559434746467166
34,LPS/Unactivated,16,4.114713216957606
35,LPS/Unactivated,17,2.535328345802161
36,LPS/Unactivated,18,0.997506234413965
37,LPS/Unactivated,19,1.9118869492934332
38,LPS/Unactivated,2,0.0831255195344971
39,LPS/Unactivated,20,4.696591853699085
40,LPS/Unactivated,21,4.655029093931837
41,LPS/Unactivated,22,3.0756442227763925
42,LPS/Unactivated,23,1.9118869492934332
43,LPS/Unactivated,24,2.4106400665004157
44,LPS/Unactivated,25,3.4912718204488775
45,LPS/Unactivated,3,2.119700748129676
46,LPS/Unactivated,4,0.3325020781379884
47,LPS/Unactivated,5,0.04156275976724855
48,LPS/Unactivated,6,2.6184538653366585
49,LPS/Unactivated,7,0.3740648379052369
50,LPS/Unactivated,8,1.4546965918536992
51,LPS/Unactivated,9,0.8312551953449709
52,Unprimed/Nigericin,-1,46.794520547945204
53,Unprimed/Nigericin,1,2.958904109589041
54,Unprimed/Nigericin,10,3.232876712328767
55,Unprimed/Nigericin,11,1.808219178082192
56,Unprimed/Nigericin,12,5.534246575342466
57,Unprimed/Nigericin,13,0.821917808219178
58,Unprimed/Nigericin,14,0.4931506849315068
59,Unprimed/Nigericin,15,0.8767123287671232
60,Unprimed/Nigericin,16,2.0273972602739727
61,Unprimed/Nigericin,17,4.273972602739726
62,Unprimed/Nigericin,18,1.36986301369863
63,Unprimed/Nigericin,19,3.232876712328767
64,Unprimed/Nigericin,2,2.5753424657534247
65,Unprimed/Nigericin,20,0.547945205479452
66,Unprimed/Nigericin,21,0.32876712328767127
67,Unprimed/Nigericin,22,0.8767123287671232
68,Unprimed/Nigericin,23,0.7671232876712328
69,Unprimed/Nigericin,24,0.32876712328767127
70,Unprimed/Nigericin,25,0.2191780821917808
71,Unprimed/Nigericin,3,6.3561643835616435
72,Unprimed/Nigericin,4,3.232876712328767
73,Unprimed/Nigericin,5,2.684931506849315
74,Unprimed/Nigericin,6,2.8493150684931505
75,Unprimed/Nigericin,7,3.1780821917808217
76,Unprimed/Nigericin,8,2.0273972602739727
77,Unprimed/Nigericin,9,0.6027397260273972
78,Unprimed/Unactivated,-1,48.45794392523364
79,Unprimed/Unactivated,1,0.7476635514018692
80,Unprimed/Unactivated,10,5.887850467289719
81,Unprimed/Unactivated,11,0.46728971962616817
82,Unprimed/Unactivated,12,2.803738317757009
83,Unprimed/Unactivated,13,2.663551401869159
84,Unprimed/Unactivated,14,2.289719626168224
85,Unprimed/Unactivated,15,1.4018691588785046
86,Unprimed/Unactivated,16,2.850467289719626
87,Unprimed/Unactivated,17,1.4953271028037385
88,Unprimed/Unactivated,18,0.8878504672897197
89,Unprimed/Unactivated,19,0.794392523364486
90,Unprimed/Unactivated,2,0.5607476635514018
91,Unprimed/Unactivated,20,5.373831775700935
92,Unprimed/Unactivated,21,4.018691588785047
93,Unprimed/Unactivated,22,3.4579439252336446
94,Unprimed/Unactivated,23,1.7289719626168223
95,Unprimed/Unactivated,24,1.0280373831775702
96,Unprimed/Unactivated,25,1.588785046728972
97,Unprimed/Unactivated,3,3.177570093457944
98,Unprimed/Unactivated,4,0.6542056074766356
99,Unprimed/Unactivated,5,0.14018691588785046
100,Unprimed/Unactivated,6,2.5233644859813085
101,Unprimed/Unactivated,7,0.4205607476635514
102,Unprimed/Unactivated,8,2.289719626168224
103,Unprimed/Unactivated,9,2.289719626168224
