Well,Category,Replicate,Cytoplasm_Intensity_MeanIntensity_NFKB,Nuclei_Intensity_MeanIntensity_NFKB,Cytoplasm_AreaShape_Area_CD45,number_ASC
H07,Untreated,Exp03,,1366.05,2282.0,0
H07,Untreated,Exp03,,,,0
H07,Untreated,Exp03,,1109.99,5714.0,0
H07,Untreated,Exp03,1439.18,,,0
H07,Untreated,Exp03,955.024,1360.02,5367.0,0
H07,Untreated,Exp03,793.729,795.556,3532.0,0
H07,Untreated,Exp03,791.508,824.209,10709.0,1
H07,Untreated,Exp03,925.651,,,0
H07,Untreated,Exp03,1133.06,997.151,24188.0,0
H07,Untreated,Exp03,730.459,827.033,4022.0,0
H07,Untreated,Exp03,,1228.68,5242.0,0
H07,Untreated,Exp03,695.07,578.531,41316.0,0
H07,Untreated,Exp03,,980.171,13989.0,0
H07,Untreated,Exp03,,869.248,56146.0,0
H07,Untreated,Exp03,954.422,838.115,34635.0,1
H07,Untreated,Exp03,804.209,662.939,83429.0,0
H07,Untreated,Exp03,,700.785,2753.0,0
H07,Untreated,Exp03,900.675,707.213,27798.0,0
H07,Untreated,Exp03,,617.543,18514.0,0
H07,Untreated,Exp03,660.657,831.094,8250.0,0
H07,Untreated,Exp03,,999.803,39771.0,0
H07,Untreated,Exp03,,788.392,81921.0,0
H07,Untreated,Exp03,862.729,816.448,69137.0,1
H07,Untreated,Exp03,1502.51,643.842,26989.0,1
H07,Untreated,Exp03,601.344,656.778,4800.0,0
H07,Untreated,Exp03,896.432,546.289,3181.0,0
H07,Untreated,Exp03,823.148,1232.83,4549.0,0
H07,Untreated,Exp03,1759.81,781.307,96152.0,0
H07,Untreated,Exp03,711.966,943.428,5414.0,1
H07,Untreated,Exp03,,1375.48,7427.0,0
H07,Untreated,Exp03,,739.145,208445.0,0
H07,Untreated,Exp03,652.213,,,0
H07,Untreated,Exp03,688.307,845.453,6183.0,0
H07,Untreated,Exp03,980.564,1366.08,4577.0,0
H07,Untreated,Exp03,,652.247,109588.0,1
H07,Untreated,Exp03,985.89,,,0
H07,Untreated,Exp03,1173.98,712.652,77025.0,0
H07,Untreated,Exp03,830.07,1410.13,3374.0,0
H07,Untreated,Exp03,996.724,717.573,27538.0,0
H07,Untreated,Exp03,,881.675,18423.0,0
H07,Untreated,Exp03,630.96,,,0
H07,Untreated,Exp03,931.757,,,0
H07,Untreated,Exp03,,1147.34,11831.0,0
H07,Untreated,Exp03,734.295,1019.73,9925.0,0
H07,Untreated,Exp03,1064.17,1453.82,3504.0,1
H07,Untreated,Exp03,,,,1
H07,Untreated,Exp03,,1071.09,11861.0,0
H07,Untreated,Exp03,713.429,1317.66,3080.0,0
H07,Untreated,Exp03,838.171,724.664,60478.0,0
H07,Untreated,Exp03,697.679,602.821,26794.0,0
H07,Untreated,Exp03,615.324,610.475,39066.0,0
H07,Untreated,Exp03,599.994,760.028,11144.0,0
H07,Untreated,Exp03,552.764,598.384,2071.0,0
H07,Untreated,Exp03,902.743,786.576,7008.0,0
H07,Untreated,Exp03,838.441,814.791,34538.0,0
H07,Untreated,Exp03,764.252,1333.94,3702.0,0
H07,Untreated,Exp03,827.666,659.428,27361.0,0
H07,Untreated,Exp03,1080.31,880.959,80427.0,0
H07,Untreated,Exp03,,843.481,7977.0,0
H07,Untreated,Exp03,,685.069,18026.0,0
H07,Untreated,Exp03,956.642,,,0
H07,Untreated,Exp03,755.794,996.451,8970.0,0
H07,Untreated,Exp03,1116.97,966.275,15797.0,0
H07,Untreated,Exp03,824.784,1211.22,7656.0,0
H07,Untreated,Exp03,956.847,946.989,36059.0,0
H07,Untreated,Exp03,1041.9,1385.46,4641.0,0
H07,Untreated,Exp03,1725.45,974.521,39499.0,0
H07,Untreated,Exp03,,,,0
H07,Untreated,Exp03,812.426,693.002,57996.0,0
H07,Untreated,Exp03,1041.04,571.375,53793.0,0
H07,Untreated,Exp03,1041.02,,,0
