ObjectNumber,Metadata_Plate,Metadata_Site,Metadata_Tags,Metadata_Well,Category,AreaShape_Area,Intensity_IntegratedIntensity_OrigAGP,Granularity_10_OrigMito
34,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,51858,174.03677565651014,1.2961162145210685
35,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,57704,170.38170501892455,1.350019368813609
36,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,12393,44.05722174351104,0.0
37,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,15179,49.864195060916245,0.0089902245978017
38,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,41235,131.7818273808807,2.4791229340342693
39,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,23879,55.31116208201274,1.6035166120959328
40,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,32968,127.07591489003973,1.3272990446535615
41,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,26825,76.37129807844758,0.3046638664532549
42,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,44014,165.34987606364302,0.0
43,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,18165,53.22821408952586,0.7551331023873677
44,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,44491,108.2556344170589,0.6379192580818289
45,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,3267,21.226016911212355,1.0613942848739004
46,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,2710,7.309987034182996,8.249974497935648
47,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,29706,120.5995741111692,2.389578338542956
48,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,34618,90.89160012546928,1.1621348821917166
49,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,77808,217.59299668949097,0.3621583809700477
50,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,6245,17.620019873138517,2.164109922710551
51,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,13055,43.717632201267406,1.3632429353315678
52,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,31184,119.47472490696236,0.5917274930286694
53,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,2173,18.54860785813071,0.0
54,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,3128,19.54863847536035,0.0
55,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,40678,105.53997135162354,1.7763775970585451
56,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,28900,117.02684227726422,0.7297624862829499
57,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,64750,198.06236425670795,0.9469349295683273
58,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,37348,102.9172658806201,0.8980356802773602
59,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,28253,69.1773709715344,1.3716437074429446
60,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,35211,102.3473568141926,0.0
61,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,28922,108.6454728494864,0.7869062542571447
62,MIG-Exp03-CP-40X-bin1X1,0,1h/3h;CellPainting;LPS/Unactivated;MIG#Batch2,K09,LPS,23041,52.34978259191848,4.507662045306319
1,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,14667,47.28897562017664,0.5062284877202372
2,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,40929,109.1690093127545,0.2990340323444617
3,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,32780,113.03260942362247,0.9866760889770276
4,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,40355,104.53528669732624,0.409842017709134
5,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,37884,138.10989669640549,0.0
6,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,18685,49.01995888049714,2.166533494010296
7,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,42586,149.7530341062229,0.8157858820496973
8,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,3855,29.22668847325258,1.953670605556869
9,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,23115,73.73550063138828,6.155490937871636
10,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,30623,120.16170140076429,0.5332051233216122
11,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,26696,79.61719722836278,0.3325169083738227
12,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,41340,117.74908098694868,0.8114430391159381
13,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,53220,173.4640583980363,0.2256070494402121
14,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,41266,148.81515347049572,0.0
