Well,Category,Replicate,Cytoplasm_Intensity_MeanIntensity_NFKB,Nuclei_Intensity_MeanIntensity_NFKB,Cytoplasm_AreaShape_Area_CD45,number_ASC
E05,Untreated,Exp05,662.417,694.353,2078.0,0
E05,Untreated,Exp05,611.945,741.123,5048.0,0
E05,Untreated,Exp05,,745.273,8964.0,0
E05,Untreated,Exp05,641.231,554.743,19721.0,0
E05,Untreated,Exp05,1409.41,767.194,13804.0,0
E05,Untreated,Exp05,786.903,861.302,8831.0,0
E05,Untreated,Exp05,1657.16,,,0
E05,Untreated,Exp05,639.319,470.193,28413.0,0
E05,Untreated,Exp05,1155.31,565.828,19871.0,0
E05,Untreated,Exp05,619.803,784.854,5641.0,0
E05,Untreated,Exp05,889.926,631.418,50209.0,0
E05,Untreated,Exp05,,,,0
E05,Untreated,Exp05,,478.512,59469.0,0
E05,Untreated,Exp05,769.46,690.051,23815.0,0
E05,Untreated,Exp05,,1198.81,9481.0,0
E05,Untreated,Exp05,667.626,1150.24,3238.0,0
E05,Untreated,Exp05,629.521,766.722,17020.0,0
E05,Untreated,Exp05,,405.549,100446.0,0
E05,Untreated,Exp05,576.903,476.361,13280.0,0
E05,Untreated,Exp05,1293.13,733.245,20169.0,0
E05,Untreated,Exp05,536.058,481.327,14971.0,0
E05,Untreated,Exp05,698.622,557.501,65409.0,0
E05,Untreated,Exp05,763.268,746.28,6835.0,0
E05,Untreated,Exp05,666.58,,,0
E05,Untreated,Exp05,695.549,568.018,33580.0,1
E05,Untreated,Exp05,658.359,,,0
E05,Untreated,Exp05,1179.06,843.397,27873.0,1
E05,Untreated,Exp05,980.472,594.784,96687.0,0
E05,Untreated,Exp05,725.174,983.532,4352.0,0
E05,Untreated,Exp05,644.804,896.259,8333.0,0
E05,Untreated,Exp05,832.408,,,0
E05,Untreated,Exp05,764.591,1043.47,90254.0,1
E05,Untreated,Exp05,1246.3,,,0
E05,Untreated,Exp05,1071.44,672.291,215157.0,0
E05,Untreated,Exp05,519.143,526.716,2855.0,0
E05,Untreated,Exp05,712.357,,,1
E05,Untreated,Exp05,,1610.01,8595.0,1
E05,Untreated,Exp05,982.433,,,0
E05,Untreated,Exp05,,840.497,153832.0,0
E05,Untreated,Exp05,711.804,,,0
E05,Untreated,Exp05,,936.682,13644.0,0
E05,Untreated,Exp05,730.95,,,0
E05,Untreated,Exp05,680.154,817.349,5836.0,0
E05,Untreated,Exp05,648.492,460.997,202801.0,0
E05,Untreated,Exp05,710.32,1029.63,4565.0,0
E05,Untreated,Exp05,622.243,702.529,20706.0,0
E05,Untreated,Exp05,638.674,578.681,115618.0,0
E05,Untreated,Exp05,692.881,547.487,31363.0,0
E05,Untreated,Exp05,1108.8,,,0
E05,Untreated,Exp05,616.295,519.592,54531.0,0
E05,Untreated,Exp05,,705.215,13983.0,0
E05,Untreated,Exp05,748.422,995.345,8348.0,0
E05,Untreated,Exp05,2156.76,1602.81,5991.0,0
E05,Untreated,Exp05,559.782,642.881,7645.0,0
E05,Untreated,Exp05,1013.87,1674.75,8582.0,1
E05,Untreated,Exp05,813.413,734.797,19061.0,1
E05,Untreated,Exp05,893.094,748.077,57292.0,0
E05,Untreated,Exp05,,,,0
E05,Untreated,Exp05,886.248,1300.96,4860.0,0
E05,Untreated,Exp05,736.884,1151.18,4204.0,0
E05,Untreated,Exp05,,1022.86,7759.0,1
E05,Untreated,Exp05,2672.15,2062.15,5706.0,0
E05,Untreated,Exp05,,793.15,8846.0,1
E05,Untreated,Exp05,691.023,828.622,7470.0,0
E05,Untreated,Exp05,783.502,666.507,37105.0,2
E05,Untreated,Exp05,529.749,419.705,25260.0,0
E05,Untreated,Exp05,1546.51,1151.25,7665.0,0
E05,Untreated,Exp05,,,,0
E05,Untreated,Exp05,877.06,685.917,73381.0,0
E05,Untreated,Exp05,765.212,1199.63,6126.0,1
E05,Untreated,Exp05,669.347,783.196,5491.0,0
E05,Untreated,Exp05,710.158,,,0
E05,Untreated,Exp05,732.5,,,0
E05,Untreated,Exp05,598.742,,,0
E05,Untreated,Exp05,877.388,1071.91,4377.0,0
E05,Untreated,Exp05,885.388,1082.68,8717.0,0
E05,Untreated,Exp05,894.096,735.508,20661.0,4
E05,Untreated,Exp05,809.669,555.871,40798.0,0
E05,Untreated,Exp05,918.451,,,2
E05,Untreated,Exp05,577.592,645.123,92696.0,0
E05,Untreated,Exp05,1240.82,1629.58,6852.0,0
E05,Untreated,Exp05,,,,0
E05,Untreated,Exp05,702.281,529.369,181198.0,0
E05,Untreated,Exp05,810.008,656.567,63664.0,0
E05,Untreated,Exp05,1455.93,2196.4,3275.0,0
E05,Untreated,Exp05,697.198,,,0
E05,Untreated,Exp05,977.145,1428.32,1728.0,0
E05,Untreated,Exp05,,1947.14,27410.0,1
E05,Untreated,Exp05,1049.25,1390.83,10450.0,0
E05,Untreated,Exp05,,2479.46,12492.0,0
E05,Untreated,Exp05,793.987,619.275,57654.0,0
E05,Untreated,Exp05,582.243,690.648,1983.0,0
E05,Untreated,Exp05,,1855.82,12236.0,0
E05,Untreated,Exp05,531.145,422.529,3773.0,0
E05,Untreated,Exp05,2192.85,4277.48,5271.0,0
E05,Untreated,Exp05,1293.63,,,0
E05,Untreated,Exp05,592.966,593.974,8412.0,0
E05,Untreated,Exp05,811.284,885.914,16498.0,0
E05,Untreated,Exp05,618.797,952.236,7212.0,0
E05,Untreated,Exp05,810.616,674.658,3202.0,0
E05,Untreated,Exp05,749.887,760.219,29450.0,0
E05,Untreated,Exp05,645.247,570.258,22308.0,0
E05,Untreated,Exp05,600.954,624.236,6259.0,1
E05,Untreated,Exp05,4732.67,1815.99,10197.0,0
E05,Untreated,Exp05,1440.09,918.593,7574.0,0
E05,Untreated,Exp05,3396.17,,,0
E05,Untreated,Exp05,,3409.29,5107.0,0
E05,Untreated,Exp05,,922.744,28446.0,0
E05,Untreated,Exp05,584.229,493.02,25841.0,0
E05,Untreated,Exp05,578.212,679.485,2875.0,0
E05,Untreated,Exp05,1106.38,743.05,46925.0,0
E05,Untreated,Exp05,1257.42,,,0
E05,Untreated,Exp05,1272.94,2797.68,2915.0,0
E05,Untreated,Exp05,634.798,829.083,5522.0,0
E05,Untreated,Exp05,1411.97,,,0
E05,Untreated,Exp05,654.509,,,0
E05,Untreated,Exp05,940.203,435.377,24858.0,0
E05,Untreated,Exp05,752.288,807.622,12849.0,0
E05,Untreated,Exp05,699.677,,,0
E05,Untreated,Exp05,487.188,461.147,1406.0,0
E05,Untreated,Exp05,,481.823,47902.0,0
E05,Untreated,Exp05,674.469,,,0
E05,Untreated,Exp05,711.225,571.783,234531.0,0
E05,Untreated,Exp05,722.432,497.981,103612.0,0
E05,Untreated,Exp05,833.08,1379.0,4599.0,0
E05,Untreated,Exp05,,746.044,159995.0,0
E05,Untreated,Exp05,1851.99,1393.08,37266.0,0
E05,Untreated,Exp05,817.352,1055.31,5783.0,0
E05,Untreated,Exp05,986.664,,,0
E05,Untreated,Exp05,875.912,754.301,12650.0,0
E05,Untreated,Exp05,990.414,,,1
E05,Untreated,Exp05,994.845,1542.88,5271.0,0
E05,Untreated,Exp05,895.466,,,0
E05,Untreated,Exp05,664.068,607.859,29198.0,0
E05,Untreated,Exp05,,1461.35,22230.0,0
E05,Untreated,Exp05,727.985,505.211,72903.0,0
E05,Untreated,Exp05,488.79,,,0
E05,Untreated,Exp05,1486.67,,,0
E05,Untreated,Exp05,1850.36,2708.61,11600.0,0
E05,Untreated,Exp05,,1741.78,2096.0,0
E05,Untreated,Exp05,1259.41,1353.41,1484.0,0
E05,Untreated,Exp05,1049.67,561.156,172527.0,0
E05,Untreated,Exp05,932.181,,,0
E05,Untreated,Exp05,,631.311,58019.0,0
E05,Untreated,Exp05,,2730.78,19242.0,0
E05,Untreated,Exp05,571.032,408.862,129954.0,0
E05,Untreated,Exp05,919.855,,,0
E05,Untreated,Exp05,895.352,1335.48,4162.0,0
E05,Untreated,Exp05,755.109,1096.61,10787.0,1
E05,Untreated,Exp05,,2759.26,7904.0,0
E05,Untreated,Exp05,,,,0
E05,Untreated,Exp05,,2242.66,7627.0,0
E05,Untreated,Exp05,,2559.43,13511.0,0
E05,Untreated,Exp05,,2180.69,5365.0,0
E05,Untreated,Exp05,,609.276,50934.0,1
E05,Untreated,Exp05,807.361,632.02,13744.0,0
