ObjectNumber,Metadata_Plate,Metadata_Site,Metadata_Tags,Metadata_Well,Category,AreaShape_Area,Intensity_IntegratedIntensity_OrigAGP,Granularity_10_OrigMito
1,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,5286,13.257084020413458,0.7159549496452126
2,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,13713,31.08177314489149,0.5762029950947373
3,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,16688,33.74756999849342,0.5383141609424186
4,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,14522,27.538109404733405,6.6534030593891
5,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,9965,28.840711208991703,0.6691111746721353
6,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,3162,12.343999547651038,0.0
7,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,34339,73.2940871459432,1.1686933628248228
8,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,45333,102.40392160695046,1.6163022458850678
9,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,21881,45.07515068491921,0.93685922209679
10,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,37638,86.207492263522,0.9242342274034192
11,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,2577,8.594201631378382,0.5063218865377179
12,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,2026,6.486579718301073,0.6298375026980174
13,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,1774,6.127534957835451,0.8003794826329621
14,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,25815,54.05194170889445,1.996534948594284
15,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,25567,61.2830395991914,0.5264300288772563
16,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,3513,8.831586220534518,0.5231897659932246
17,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,21320,48.68488604505546,0.5725349530223662
18,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,1871,10.5015947020147,1.7399692047408073
19,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,33833,80.09195096488111,0.0
20,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,12475,28.77355612232349,0.9354927090134108
21,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,45914,95.27896550763398,1.5556550817466663
22,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,56973,121.98254366382024,1.5552152653480291
23,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,36966,88.62777159456164,1.21969212013928
24,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,8716,19.02113374648616,0.2271263736070914
25,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,24746,61.72169087850489,2.0342788098617186
26,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,1801,5.876127289840952,0.0
27,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,35170,84.40515762078576,3.049724125886737
28,MIG-Exp05-CP-40X-bin1X1,0,1h/3h;CPTriton;MIG#Batch2;Unprimed/Unactivated,H07,Untreated,23383,53.47382313921116,0.888507763243458
