param_n_components,param_tol,mean_test_bic,mean_test_aic,mean_test_sillhoute
2,0.001,5.474805423727745,5.473529518530059,0.22320527504739998
2,0.01,5.474872763098574,5.4735970560113865,0.2358901347130015
2,0.1,5.475357205865494,5.474082923087349,0.25954349943615623
3,0.001,5.467223561111788,5.465269518372939,0.17823701212677387
3,0.01,5.467557343164908,5.465604805031002,0.16050836749614697
3,0.1,5.470244122003819,5.468303652974083,0.1302943179801566
4,0.001,5.46036980716677,5.457717485668622,0.1202434747369621
4,0.01,5.464205096742251,5.461576165712624,0.0939441833064749
4,0.1,5.465251631499579,5.462629047014471,0.1060828037428763
5,0.001,5.4575138933574285,5.454171428085467,0.10951578933471999
5,0.01,5.460029026446766,5.456705936509813,0.09886654761694545
5,0.1,5.460972573715795,5.457656723281675,0.10571342652398348
6,0.001,5.455192071180996,5.451154343152259,0.08070781624920131
6,0.01,5.456536449930194,5.452511259562763,0.09107240017344043
6,0.1,5.460193268487544,5.456201984045022,0.10038253908190153
7,0.001,5.453940056975259,5.449210305337347,0.08379126337240761
7,0.01,5.4557926084165835,5.451083098864208,0.09337198016717886
7,0.1,5.45833763958715,5.45365579662462,0.10208532564290072
8,0.001,5.453915631337281,5.448504194031159,0.07021319383601109
8,0.01,5.454699153973091,5.449297531700461,0.09162618778091125
8,0.1,5.458599044226678,5.453246009293257,0.09264848088250029
9,0.001,5.453980758288761,5.447887752164446,0.0721724016513857
9,0.01,5.4548165620747335,5.448735353123977,0.08171584120147121
9,0.1,5.456088348156324,5.450025046053423,0.08606360632621908
10,0.001,5.453095112840627,5.446304705617429,0.0798194258608231
10,0.01,5.454346357488999,5.447575639011628,0.09032483947467908
10,0.1,5.456455890316091,5.449718235855977,0.10073566106254217
11,0.001,5.4532040459361735,5.445729572970888,0.06107886485436339
11,0.01,5.4538520982118195,5.446388866617869,0.06667193881840727
11,0.1,5.4555238239515464,5.448089512108083,0.08200088096905978
12,0.001,5.453351882403586,5.445193346646676,0.042787434637035326
12,0.01,5.453854856205195,5.445705852857978,0.053011684283019965
12,0.1,5.455622496503259,5.44750690456001,0.07469144408222432
13,0.001,5.453519708536585,5.444676909626519,0.03761500403476016
13,0.01,5.454016260722544,5.445183669935163,0.05067734028558565
13,0.1,5.455715787594655,5.446918045677561,0.07250023523240333
14,0.001,5.453792270783761,5.444266982957645,0.021684446825749642
14,0.01,5.454689943191755,5.445184540307246,0.04601874137665479
14,0.1,5.455975776828884,5.446498784217374,0.06691369172009615
15,0.001,5.454534246612841,5.444337415568779,0.020495047081588322
15,0.01,5.45519480109953,5.44501365055429,0.039360374409826177
15,0.1,5.456309781753972,5.446155043727754,0.06596093519520708
16,0.001,5.454714101354366,5.443832760686425,0.018313413487124324
16,0.01,5.455454215049088,5.444591635951279,0.039637871401323015
16,0.1,5.4568040250317615,5.4459755787476,0.0656571678415505
17,0.001,5.455240128123829,5.443683106676851,0.0224678768206172
17,0.01,5.456084843401564,5.444550579719865,0.04031364629400546
17,0.1,5.457481261036569,5.445984519184038,0.06616607830920962
18,0.001,5.455738278342028,5.443505382727714,0.01724931736894437
18,0.01,5.456521380746307,5.444310835858932,0.03909238841827827
18,0.1,5.4579991440861955,5.445830663675859,0.06443287736592723
19,0.001,5.456134055577578,5.443222712184254,0.01903931518559181
19,0.01,5.457093277351329,5.444210846337478,0.037313682022492745
19,0.1,5.4586294414296646,5.445793175891878,0.06110120261943988
20,0.001,5.4570493411591094,5.443476240558434,0.011034680303568722
20,0.01,5.457913455269899,5.444367759327518,0.0366747537015385
20,0.1,5.459348493717229,5.445848184723334,0.061181300772271324
21,0.001,5.458448056152107,5.444231136004921,0.012556101273944386
21,0.01,5.459016596344551,5.444818582932669,0.03181679141776919
21,0.1,5.460421656587257,5.446270258736251,0.05908931868814495
22,0.001,5.458993923363659,5.444106809102787,0.0054283620006182086
22,0.01,5.4596958841613406,5.444833229014761,0.024266716170838972
22,0.1,5.461408270979562,5.446605110881974,0.057639988428674134
23,0.001,5.459633954995566,5.444080755019941,0.0011568968843712376
23,0.01,5.460293186846383,5.444764004594866,0.022015543637716795
23,0.1,5.461871702351832,5.446399876668477,0.0556963709397959
24,0.001,5.4606162919890515,5.4444110018394145,0.007201751211363752
24,0.01,5.461188662209426,5.445005118107834,0.027814034273837093
24,0.1,5.46242363640475,5.446286911434995,0.055202069096793226
25,0.001,5.460729185388838,5.443839415792544,0.0036681816104334277
25,0.01,5.461306998177405,5.444440126630783,0.02526413629914477
25,0.1,5.462822720056887,5.4460157645191964,0.05543647743748618
